latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,confidence,version,bright_ti5,frp,daynight
3.46355,5.56191,320.16,0.41,0.45,2026-05-18,0134,N,nominal,2.0NRT,285.83,3.28,N
-1.5215,9.95253,315.37,0.49,0.65,2026-05-18,0137,N,nominal,2.0NRT,285.39,1.82,N
58.4786,1.26992,303.94,0.53,0.42,2026-05-18,0300,N,nominal,2.0NRT,279.39,0.83,N
57.08356,0.89145,317.33,0.56,0.43,2026-05-18,0300,N,nominal,2.0NRT,279.52,1.85,N
53.63447,-0.24284,304.31,0.42,0.45,2026-05-18,0302,N,nominal,2.0NRT,280.02,1.62,N
53.56852,-0.60455,323.86,0.41,0.45,2026-05-18,0302,N,nominal,2.0NRT,277.77,1.79,N
53.56706,-0.5987,299.48,0.41,0.45,2026-05-18,0302,N,nominal,2.0NRT,277.71,1.79,N
53.39745,-1.38718,303.42,0.39,0.44,2026-05-18,0302,N,nominal,2.0NRT,264.11,0.55,N
52.64183,-8.68968,307.64,0.39,0.36,2026-05-18,0302,N,nominal,2.0NRT,274.46,1.04,N
43.44556,4.89869,299.22,0.71,0.75,2026-05-18,0304,N,nominal,2.0NRT,273.35,1.17,N
43.40981,-3.83939,303.82,0.57,0.52,2026-05-18,0304,N,nominal,2.0NRT,269.35,1.01,N
39.93631,-3.74412,298.82,0.36,0.57,2026-05-18,0306,N,nominal,2.0NRT,280.6,0.58,N
39.68549,-8.90527,298.02,0.4,0.44,2026-05-18,0306,N,nominal,2.0NRT,281.11,0.7,N
40.51886,17.20697,299.43,0.42,0.45,2026-05-18,0124,N,nominal,2.0NRT,285.52,0.8,N
40.50342,17.21683,307.83,0.42,0.45,2026-05-18,0124,N,nominal,2.0NRT,288.25,1.11,N
42.5498,-6.77208,295.26,0.66,0.73,2026-05-18,0124,N,nominal,2.0NRT,277.66,1.23,N
37.91798,23.07145,299.36,0.48,0.65,2026-05-18,0124,N,nominal,2.0NRT,288.05,1.05,N
59.38541,28.45678,307.27,0.56,0.43,2026-05-18,0117,N,nominal,2.0NRT,280.8,1.47,N
40.55793,9.67399,300.28,0.38,0.36,2026-05-18,0124,N,nominal,2.0NRT,285.56,0.9,N
-20.55061,-43.77125,338.6,0.57,0.69,2026-05-18,0323,N,nominal,2.0NRT,285.18,4.65,N
60.2874,22.2937,296.24,0.4,0.37,2026-05-18,0117,N,nominal,2.0NRT,278.6,0.46,N
38.79539,15.21534,322.38,0.55,0.43,2026-05-18,0124,N,nominal,2.0NRT,281.54,1.64,N
-20.5492,-43.77715,302.19,0.57,0.69,2026-05-18,0323,N,nominal,2.0NRT,284.2,4.65,N
60.61017,16.79611,300.32,0.4,0.37,2026-05-18,0117,N,nominal,2.0NRT,276.49,0.91,N
38.79656,15.20989,312.86,0.55,0.43,2026-05-18,0124,N,nominal,2.0NRT,284.73,2.34,N
57.70933,18.80173,318.97,0.39,0.36,2026-05-18,0120,N,nominal,2.0NRT,279.75,2.18,N
-22.27857,-41.73149,320.28,0.4,0.6,2026-05-18,0323,N,nominal,2.0NRT,289.41,4.59,N
38.79169,15.21344,321.88,0.55,0.43,2026-05-18,0124,N,nominal,2.0NRT,280.84,1.64,N
15.20065,-10.02884,307.9,0.57,0.69,2026-05-18,0313,N,nominal,2.0NRT,290.52,1.4,N
58.38416,13.82764,296.34,0.42,0.38,2026-05-18,0120,N,nominal,2.0NRT,276.84,0.61,N
-22.27944,-41.72761,343.42,0.39,0.6,2026-05-18,0323,N,nominal,2.0NRT,289.87,4.26,N
38.79281,15.20819,297.39,0.55,0.43,2026-05-18,0124,N,nominal,2.0NRT,279.6,2.34,N
58.38308,13.82811,295.97,0.42,0.38,2026-05-18,0120,N,nominal,2.0NRT,276.12,0.44,N
15.19672,-10.04122,311.97,0.57,0.69,2026-05-18,0313,N,nominal,2.0NRT,291.33,1.97,N
-22.28491,-41.72911,320.14,0.39,0.6,2026-05-18,0323,N,nominal,2.0NRT,289.75,2.05,N
38.79572,15.21511,327.16,0.55,0.43,2026-05-18,0124,N,nominal,2.0NRT,283.37,3.18,N
55.96353,26.08632,296.07,0.39,0.44,2026-05-18,0120,N,nominal,2.0NRT,264.47,0.64,N
15.19958,-10.03014,305.81,0.57,0.69,2026-05-18,0313,N,nominal,2.0NRT,290.5,1.35,N
-22.28269,-41.73066,349.58,0.39,0.6,2026-05-18,0323,N,nominal,2.0NRT,289.55,7.07,N
38.79202,15.21311,327.24,0.55,0.43,2026-05-18,0124,N,nominal,2.0NRT,281.59,3.86,N
55.96208,26.09217,302.26,0.39,0.44,2026-05-18,0120,N,nominal,2.0NRT,265.17,0.64,N
40.34879,-4.44526,309.62,0.49,0.65,2026-05-18,0124,N,nominal,2.0NRT,275.07,1.31,N
