lat,lon,detection_date,detection_confidence,fire_radiative_power
32.93106,3.23669,2026-05-18,nominal,0.8
38.75163,26.94126,2026-05-18,nominal,1.27
32.92976,3.24707,2026-05-18,nominal,0.29
38.74265,26.94538,2026-05-18,nominal,1.25
29.70536,19.86507,2026-05-18,nominal,1.03
38.73623,26.9417,2026-05-18,nominal,1.25
32.44392,6.62996,2026-05-18,nominal,1.8
40.62965,18.00132,2026-05-18,nominal,0.69
29.21572,21.64468,2026-05-18,nominal,1.41
39.38699,22.8065,2026-05-18,nominal,0.68
29.18997,21.52944,2026-05-18,nominal,2.91
32.35615,6.97745,2026-05-18,nominal,2.29
32.83838,3.24033,2026-05-18,nominal,0.72
28.82016,22.25604,2026-05-18,nominal,0.54
32.74746,3.18215,2026-05-18,nominal,1.31
32.74007,3.18085,2026-05-18,nominal,0.85
32.17355,7.06247,2026-05-18,nominal,1.58
-19.29441,16.31431,2026-05-18,nominal,3.11
28.69807,22.37302,2026-05-18,nominal,2.36
-19.29815,16.31355,2026-05-18,nominal,4.89
31.70343,9.24468,2026-05-18,nominal,0.47
28.69576,22.37104,2026-05-18,nominal,1.94
-19.31549,16.28064,2026-05-18,nominal,0.92
-19.31634,16.28538,2026-05-18,nominal,1.24
32.13686,6.46776,2026-05-18,nominal,7.5
-19.32333,16.2594,2026-05-18,nominal,1.25
32.13624,6.47185,2026-05-18,nominal,6.82
-19.32708,16.25864,2026-05-18,nominal,1.3
32.5574,3.16584,2026-05-18,nominal,1.55
-21.3751,17.7158,2026-05-18,nominal,0.06
32.55677,3.17098,2026-05-18,nominal,0.96
-23.6333,20.41507,2026-05-18,nominal,0.1
29.0384,20.78601,2026-05-18,nominal,3.13
-24.81661,30.11874,2026-05-18,nominal,2.92
-24.81625,30.11441,2026-05-18,nominal,3.39
32.55371,3.1652,2026-05-18,nominal,1.55
-24.83578,27.36195,2026-05-18,nominal,1.94
32.55308,3.17033,2026-05-18,nominal,0.96
-24.83637,27.36795,2026-05-18,nominal,1.94
32.40139,4.00309,2026-05-18,nominal,1.56
-25.40793,29.03209,2026-05-18,nominal,1.15
29.03926,20.78681,2026-05-18,nominal,3.48
-25.41343,29.03173,2026-05-18,nominal,1.15
28.87148,21.21945,2026-05-18,nominal,0.51
-25.41895,29.03148,2026-05-18,nominal,1.1
28.82875,21.32157,2026-05-18,nominal,0.89
-25.4574,28.1072,2026-05-18,nominal,1.19
28.81853,21.28069,2026-05-18,nominal,1.85
-25.45771,28.1105,2026-05-18,nominal,1.1
28.90285,20.95181,2026-05-18,nominal,4.02
-25.802,29.4907,2026-05-18,nominal,1.41
28.89466,20.95583,2026-05-18,nominal,5.44
-25.808,29.49411,2026-05-18,nominal,1.52
-25.81367,29.49354,2026-05-18,nominal,1.52
28.8929,20.96219,2026-05-18,nominal,5.44
-25.85724,29.17182,2026-05-18,nominal,1.2
29.23095,19.69404,2026-05-18,high,7.53
